date,realtime_end,realtime_start,INDPRO
1919-11-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.0453
1919-11-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.0461
1919-11-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.2301
1919-11-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.2541
1919-11-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.2293
1919-11-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.2062
1919-12-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.8
1919-12-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.4
1919-12-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.045
1919-12-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.049
1919-12-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-12-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.7418
1919-12-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.741
1919-12-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.1078
1919-12-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.1182
1919-12-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.129
1919-12-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.1259
1919-12-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.1266
1919-12-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.3136
1919-12-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.338
1919-12-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.3128
1919-12-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.2893
1920-01-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.8
1920-01-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,9.2
1920-01-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.804
1920-01-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.808
1920-01-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-01-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,6.2829
1920-01-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,6.282
1920-01-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.5892
1920-01-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.6005
1920-01-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.6124
1920-01-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.6089
1920-01-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.6097
1920-01-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.8143
1920-01-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.841
1920-01-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.8134
1920-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.7877
1920-02-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.8
1920-02-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,9.2
1920-02-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.804
1920-02-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.808
1920-02-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-02-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,6.2829
1920-02-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,6.2821
1920-02-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.5892
1920-02-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.6005
1920-02-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.6124
1920-02-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.6089
1920-02-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.6097
1920-02-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.8143
1920-02-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.841
1920-02-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.8134
1920-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.7877
1920-03-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.5
1920-03-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,9.0
1920-03-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.635
1920-03-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.639
1920-03-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-03-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,6.1626
1920-03-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,6.1618
1920-03-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.4822
1920-03-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.4933
1920-03-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.505
1920-03-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.5016
1920-03-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.5024
1920-03-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.703
1920-03-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.7292
1920-03-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.7022
1920-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.677
1920-04-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.9
1920-04-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.5
1920-04-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.172
1920-04-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.176
1920-04-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-04-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.832
1920-04-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.8312
1920-04-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.1881
1920-04-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.1986
1920-04-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.2096
1920-04-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.2064
1920-04-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.2071
1920-04-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.397
1920-04-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.4218
1920-04-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.3962
1920-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.3724
1920-05-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.2
1920-05-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.8
1920-05-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.382
1920-05-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.386
1920-05-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1920-05-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.9823
1920-05-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.9815
1920-05-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.3218
1920-05-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.3326
1920-05-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.3439
1920-05-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.3405
1920-05-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.3413
