date,realtime_end,realtime_start,GDPC1
1952-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2443.7
1952-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2446.1
1952-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2446.081
1952-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1657.8
1952-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1952-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1846.0
1952-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1952-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1940.2
1952-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2043.8
1952-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2307.2
1952-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2305.3
1952-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2523.9
1952-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2526.4
1952-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2526.359
1953-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1687.3
1953-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1953-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1882.6
1953-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1953-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1976.0
1953-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2082.3
1953-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2350.4
1953-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2348.4
1953-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2570.9
1953-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2573.4
1953-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2573.372
1953-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1695.3
1953-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1953-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1897.3
1953-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1953-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1992.2
1953-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2098.1
1953-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2368.2
1953-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2366.2
1953-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2591.0
1953-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2593.5
1953-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2593.456
1953-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1687.9
1953-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1953-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1887.4
1953-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1953-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1979.5
1953-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2085.4
1953-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2353.8
1953-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2351.8
1953-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2576.4
1953-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2578.9
1953-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2578.922
1953-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1671.2
1953-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1953-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1858.2
1953-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1953-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1947.8
1953-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2052.5
1953-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2316.5
1953-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2314.6
1953-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2537.3
1953-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2539.8
1953-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2539.786
1954-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1660.8
1954-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1954-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1849.9
1954-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1954-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1938.1
1954-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,2042.4
1954-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2305.5
1954-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2303.5
1954-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2525.6
1954-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2528.0
1954-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2528.043
1954-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1658.4
1954-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
