date,realtime_end,realtime_start,HOUST
1976-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1641.0
1976-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1804.0
1977-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1527.0
1977-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1943.0
1977-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2063.0
1977-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1892.0
1977-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1971.0
1977-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1893.0
1977-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2058.0
1977-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2020.0
1977-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1949.0
1977-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2042.0
1977-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2042.0
1977-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2142.0
1978-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1718.0
1978-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1738.0
1978-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2032.0
1978-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2197.0
1978-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2075.0
1978-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2070.0
1978-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2092.0
1978-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1996.0
1978-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1970.0
1978-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1981.0
1978-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2094.0
1978-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2044.0
1979-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1630.0
1979-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1520.0
1979-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1847.0
1979-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1748.0
1979-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1876.0
1979-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1913.0
1979-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1760.0
1979-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1778.0
1979-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1832.0
1979-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1681.0
1979-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1524.0
1979-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1498.0
1980-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1341.0
1980-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1350.0
1980-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1047.0
1980-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1051.0
1980-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,927.0
1980-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1196.0
1980-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1269.0
1980-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1436.0
1980-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1471.0
1980-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1523.0
1980-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1510.0
1980-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1482.0
1981-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1547.0
1981-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1246.0
1981-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1306.0
1981-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1360.0
1981-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1140.0
1981-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1045.0
1981-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1041.0
1981-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,940.0
1981-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,911.0
1981-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,873.0
1981-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,837.0
1981-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,910.0
1982-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,843.0
1982-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,866.0
1982-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,931.0
1982-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,917.0
1982-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1025.0
1982-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,902.0
1982-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1166.0
1982-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1046.0
1982-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1144.0
1982-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1173.0
1982-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1372.0
1982-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1303.0
1983-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1586.0
1983-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1699.0
1983-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1606.0
1983-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1472.0
1983-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1776.0
1983-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1733.0
1983-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1785.0
1983-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1910.0
1983-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1710.0
1983-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1715.0
1983-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1785.0
1983-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1688.0
1984-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1897.0
1984-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2260.0
1984-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1663.0
1984-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1851.0
1984-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1774.0
1984-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1843.0
1984-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1732.0
1984-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1586.0
1984-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1698.0
1984-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1590.0
1984-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1689.0
1984-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1612.0
1985-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1711.0
1985-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1632.0
1985-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1800.0
1985-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1821.0
