date,realtime_end,realtime_start,PAYEMS
1945-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40899.0
1945-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41148.0
1945-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41149.0
1945-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40599.0
1945-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40609.0
1945-07-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,40873.0
1945-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40290.0
1945-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40298.0
1945-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,40466.0
1945-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,40467.0
1945-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38345.0
1945-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38356.0
1945-09-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,38500.0
1945-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38427.0
1945-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38436.0
1945-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,38598.0
1945-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,38599.0
1945-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38807.0
1945-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38799.0
1945-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,38996.0
1945-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,38997.0
1945-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39000.0
1945-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39009.0
1945-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,39111.0
1945-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,39112.0
1946-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39740.0
1946-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39721.0
1946-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,39839.0
1946-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,39832.0
1946-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39209.0
1946-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39193.0
1946-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,39250.0
1946-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,39251.0
1946-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40202.0
1946-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40183.0
1946-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,40192.0
1946-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,40193.0
1946-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40831.0
1946-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40858.0
1946-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,40908.0
1946-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,40909.0
1946-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41263.0
1946-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41248.0
1946-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41348.0
1946-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41349.0
1946-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41534.0
1946-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41551.0
1946-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41732.0
1946-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41733.0
1946-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41943.0
1946-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41955.0
1946-07-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42153.0
1946-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42462.0
1946-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42466.0
1946-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42642.0
1946-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42643.0
1946-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42744.0
