date,realtime_end,realtime_start,TCU
1970-04-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,82.5
1970-04-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,82.47
1970-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,82.4592
1970-05-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,81.7
1970-05-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,82.0
1970-05-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,81.9
1970-05-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,82.0
1970-05-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,82.1
1970-05-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,82.2
1970-05-01 00:00:00,2018-02-14 00:00:00,2011-03-25 00:00:00,82.1
1970-05-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,82.1173
1970-05-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,82.1061
1970-06-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,81.2
1970-06-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,81.5
1970-06-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,81.4
1970-06-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,81.5
1970-06-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,81.6
1970-06-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,81.7
1970-06-01 00:00:00,2018-02-14 00:00:00,2010-06-25 00:00:00,81.6
1970-06-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,81.5976
1970-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,81.5861
1970-07-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,81.1
1970-07-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,81.4
1970-07-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,81.3
1970-07-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,81.4
1970-07-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,81.5
1970-07-01 00:00:00,2016-03-31 00:00:00,2006-12-11 00:00:00,81.6
1970-07-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,81.5
1970-07-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,81.5446
1970-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,81.5327
1970-08-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,80.8
1970-08-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,81.0
1970-08-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,80.9
1970-08-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,81.0
1970-08-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,81.1
1970-08-01 00:00:00,2016-03-31 00:00:00,2006-12-11 00:00:00,81.2
1970-08-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,81.1
1970-08-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,81.1478
1970-08-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,81.1356
1970-09-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,80.0
1970-09-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,80.2
1970-09-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,80.1
1970-09-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,80.2
1970-09-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,80.3
1970-09-01 00:00:00,2016-03-31 00:00:00,2006-12-11 00:00:00,80.4
1970-09-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,80.3
1970-09-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,80.3404
1970-09-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,80.328
1970-10-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,78.1
1970-10-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,78.4
1970-10-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,78.3
1970-10-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,78.4
1970-10-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,78.5
1970-10-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,78.6
1970-10-01 00:00:00,2018-02-14 00:00:00,2010-06-25 00:00:00,78.5
1970-10-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,78.4917
1970-10-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,78.4791
1970-11-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,77.4
1970-11-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,77.7
1970-11-01 00:00:00,2005-11-06 00:00:00,2003-01-17 00:00:00,77.6
1970-11-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,77.8
1970-11-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,77.9
1970-11-01 00:00:00,2018-02-14 00:00:00,2010-06-25 00:00:00,77.8
1970-11-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,77.7776
1970-11-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,77.7648
1970-12-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,79.0
1970-12-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,79.2
1970-12-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,79.1
1970-12-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,79.2
1970-12-01 00:00:00,2008-03-27 00:00:00,2005-11-07 00:00:00,79.3
1970-12-01 00:00:00,2011-03-24 00:00:00,2008-03-28 00:00:00,79.4
1970-12-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,79.3
1970-12-01 00:00:00,2014-04-15 00:00:00,2012-03-30 00:00:00,79.4
1970-12-01 00:00:00,2018-02-14 00:00:00,2014-04-16 00:00:00,79.3
1970-12-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,79.3211
1970-12-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,79.3076
1971-01-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,79.3
1971-01-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,79.6
1971-01-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,79.5
1971-01-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,79.6
1971-01-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,79.7
1971-01-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,79.8
1971-01-01 00:00:00,2018-02-14 00:00:00,2011-03-25 00:00:00,79.7
1971-01-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,79.7069
1971-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,79.6931
1971-02-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,79.0
1971-02-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,79.2
1971-02-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,79.1
1971-02-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,79.2
1971-02-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,79.3
1971-02-01 00:00:00,2018-02-14 00:00:00,2006-12-11 00:00:00,79.4
1971-02-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,79.3518
1971-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,79.3376
1971-03-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,78.7
1971-03-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,78.9
1971-03-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,78.8
1971-03-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,78.9
1971-03-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,79.0
1971-03-01 00:00:00,2018-02-14 00:00:00,2006-12-11 00:00:00,79.1
1971-03-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,79.0634
1971-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,79.0489
1971-04-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,79.0
1971-04-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,79.2
1971-04-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,79.1
1971-04-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,79.2
1971-04-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,79.1
1971-04-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,79.3
1971-04-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,79.4
