date,realtime_end,realtime_start,PPI
2000-09-01 00:00:00,2018-06-30 00:00:00,2001-02-16 00:00:00,134.7
2000-10-01 00:00:00,2001-03-15 00:00:00,2000-11-09 00:00:00,135.1
2000-10-01 00:00:00,2018-06-30 00:00:00,2001-03-16 00:00:00,135.4
2000-11-01 00:00:00,2001-04-11 00:00:00,2000-12-14 00:00:00,134.6
2000-11-01 00:00:00,2018-06-30 00:00:00,2001-04-12 00:00:00,135.0
2000-12-01 00:00:00,2001-05-10 00:00:00,2001-01-12 00:00:00,135.7
2000-12-01 00:00:00,2018-06-30 00:00:00,2001-05-11 00:00:00,136.2
2001-01-01 00:00:00,2001-06-13 00:00:00,2001-02-16 00:00:00,138.8
2001-01-01 00:00:00,2018-06-30 00:00:00,2001-06-14 00:00:00,140.0
2001-02-01 00:00:00,2001-07-12 00:00:00,2001-03-16 00:00:00,136.5
2001-02-01 00:00:00,2018-06-30 00:00:00,2001-07-13 00:00:00,137.4
2001-03-01 00:00:00,2018-06-30 00:00:00,2001-04-12 00:00:00,135.9
2001-04-01 00:00:00,2001-09-13 00:00:00,2001-05-11 00:00:00,136.3
2001-04-01 00:00:00,2018-06-30 00:00:00,2001-09-14 00:00:00,136.4
2001-05-01 00:00:00,2001-10-11 00:00:00,2001-06-14 00:00:00,136.6
2001-05-01 00:00:00,2018-06-30 00:00:00,2001-10-12 00:00:00,136.8
2001-06-01 00:00:00,2001-11-08 00:00:00,2001-07-13 00:00:00,135.7
2001-06-01 00:00:00,2018-06-30 00:00:00,2001-11-09 00:00:00,135.5
2001-07-01 00:00:00,2001-12-12 00:00:00,2001-08-10 00:00:00,133.9
2001-07-01 00:00:00,2018-06-30 00:00:00,2001-12-13 00:00:00,133.4
2001-08-01 00:00:00,2002-01-10 00:00:00,2001-09-14 00:00:00,133.5
2001-08-01 00:00:00,2018-06-30 00:00:00,2002-01-11 00:00:00,133.4
2001-09-01 00:00:00,2002-02-12 00:00:00,2001-10-12 00:00:00,133.4
2001-09-01 00:00:00,2018-06-30 00:00:00,2002-02-13 00:00:00,133.3
2001-10-01 00:00:00,2002-03-14 00:00:00,2001-11-09 00:00:00,130.2
2001-10-01 00:00:00,2018-06-30 00:00:00,2002-03-15 00:00:00,130.3
2001-11-01 00:00:00,2002-04-11 00:00:00,2001-12-13 00:00:00,130.1
2001-11-01 00:00:00,2018-06-30 00:00:00,2002-04-12 00:00:00,129.8
2001-12-01 00:00:00,2002-05-09 00:00:00,2002-01-11 00:00:00,128.0
2001-12-01 00:00:00,2018-06-30 00:00:00,2002-05-10 00:00:00,128.1
2002-01-01 00:00:00,2018-06-30 00:00:00,2002-02-15 00:00:00,128.5
2002-02-01 00:00:00,2002-07-10 00:00:00,2002-03-15 00:00:00,128.6
2002-02-01 00:00:00,2018-06-30 00:00:00,2002-07-11 00:00:00,128.4
2002-03-01 00:00:00,2002-08-07 00:00:00,2002-04-12 00:00:00,129.9
2002-03-01 00:00:00,2018-06-30 00:00:00,2002-08-08 00:00:00,129.8
2002-04-01 00:00:00,2002-09-12 00:00:00,2002-05-10 00:00:00,131.0
2002-04-01 00:00:00,2018-06-30 00:00:00,2002-09-13 00:00:00,130.8
2002-05-01 00:00:00,2002-10-10 00:00:00,2002-06-13 00:00:00,131.0
2002-05-01 00:00:00,2018-06-30 00:00:00,2002-10-11 00:00:00,130.8
2002-06-01 00:00:00,2002-11-14 00:00:00,2002-07-11 00:00:00,131.1
