RRS,date,realtime_end,realtime_start
119086.90845156663,1991-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
119190.56529801789,1991-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
118746.32167036967,1991-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
107711.09841500325,1980-01-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
105464.4949266108,1980-02-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
102451.04231906371,1980-03-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
100092.32020083624,1980-04-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
99172.10125785063,1980-05-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
99561.34329350432,1980-06-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
101519.18842392541,1980-07-01 00:00:00,2012-04-29 00:00:00,2006-03-30 00:00:00
