date,realtime_end,realtime_start,BP
2000-01-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1762.0
2000-01-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1780.0
2000-01-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1727.0
2000-02-01 00:00:00,2000-03-23 00:00:00,2000-03-16 00:00:00,1631.0
2000-02-01 00:00:00,2000-05-15 00:00:00,2000-03-24 00:00:00,1653.0
2000-02-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1661.0
2000-02-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1736.0
2000-02-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1692.0
2000-03-01 00:00:00,2000-04-25 00:00:00,2000-04-18 00:00:00,1579.0
2000-03-01 00:00:00,2000-05-15 00:00:00,2000-04-26 00:00:00,1608.0
2000-03-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1597.0
2000-03-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1656.0
2000-03-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1651.0
2000-04-01 00:00:00,2000-05-23 00:00:00,2000-05-16 00:00:00,1574.0
2000-04-01 00:00:00,2001-05-15 00:00:00,2000-05-24 00:00:00,1559.0
2000-04-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1595.0
2000-04-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1597.0
2000-05-01 00:00:00,2000-06-25 00:00:00,2000-06-16 00:00:00,1492.0
2000-05-01 00:00:00,2001-05-15 00:00:00,2000-06-26 00:00:00,1511.0
2000-05-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1540.0
2000-05-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1543.0
2000-06-01 00:00:00,2000-07-26 00:00:00,2000-07-20 00:00:00,1511.0
2000-06-01 00:00:00,2001-05-15 00:00:00,2000-07-27 00:00:00,1528.0
2000-06-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1566.0
2000-06-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1572.0
2000-07-01 00:00:00,2000-08-23 00:00:00,2000-08-16 00:00:00,1497.0
2000-07-01 00:00:00,2001-05-15 00:00:00,2000-08-24 00:00:00,1511.0
2000-07-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1534.0
2000-07-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1542.0
2000-08-01 00:00:00,2000-09-26 00:00:00,2000-09-19 00:00:00,1468.0
2000-08-01 00:00:00,2001-05-15 00:00:00,2000-09-27 00:00:00,1486.0
2000-08-01 00:00:00,2002-05-15 00:00:00,2001-05-16 00:00:00,1544.0
2000-08-01 00:00:00,2018-06-30 00:00:00,2002-05-16 00:00:00,1552.0
