date,realtime_end,realtime_start,VXO
2010-09-01 00:00:00,2018-06-30,2010-09-30,21.32
2010-10-01 00:00:00,2018-06-30,2010-10-31,19.86
2010-11-01 00:00:00,2018-06-30,2010-11-30,19.4
2010-12-01 00:00:00,2018-06-30,2010-12-31,16.59
2011-01-01 00:00:00,2018-06-30,2011-01-31,15.72
2011-02-01 00:00:00,2018-06-30,2011-02-28,15.72
2011-03-01 00:00:00,2018-06-30,2011-03-31,19.89
2011-04-01 00:00:00,2018-06-30,2011-04-30,15.21
2011-05-01 00:00:00,2018-06-30,2011-05-31,16.29
2011-06-01 00:00:00,2018-06-30,2011-06-30,18.92
2011-07-01 00:00:00,2018-06-30,2011-07-31,18.74
2011-08-01 00:00:00,2018-06-30,2011-08-31,35.07
2011-09-01 00:00:00,2018-06-30,2011-09-30,36.64
2011-10-01 00:00:00,2018-06-30,2011-10-31,32.01
2011-11-01 00:00:00,2018-06-30,2011-11-30,31.41
2011-12-01 00:00:00,2018-06-30,2011-12-31,25.04
2012-01-01 00:00:00,2018-06-30,2012-01-31,18.94
2012-02-01 00:00:00,2018-06-30,2012-02-29,16.69
2012-03-01 00:00:00,2018-06-30,2012-03-31,14.96
2012-04-01 00:00:00,2018-06-30,2012-04-30,17.18
2012-05-01 00:00:00,2018-06-30,2012-05-31,20.55
2012-06-01 00:00:00,2018-06-30,2012-06-30,20.75
2012-07-01 00:00:00,2018-06-30,2012-07-31,16.95
2012-08-01 00:00:00,2018-06-30,2012-08-31,14.97
2012-09-01 00:00:00,2018-06-30,2012-09-30,14.31
2012-10-01 00:00:00,2018-06-30,2012-10-31,15.47
2012-11-01 00:00:00,2018-06-30,2012-11-30,17.16
2012-12-01 00:00:00,2018-06-30,2012-12-31,17.35
2013-01-01 00:00:00,2018-06-30,2013-01-31,13.12
2013-02-01 00:00:00,2018-06-30,2013-02-28,13.51
2013-03-01 00:00:00,2018-06-30,2013-03-31,12.39
2013-04-01 00:00:00,2018-06-30,2013-04-30,13.25
2013-05-01 00:00:00,2018-06-30,2013-05-31,12.91
2013-06-01 00:00:00,2018-06-30,2013-06-30,17.16
2013-07-01 00:00:00,2018-06-30,2013-07-31,13.63
2013-08-01 00:00:00,2018-06-30,2013-08-31,13.86
2013-09-01 00:00:00,2018-06-30,2013-09-30,14.29
2013-10-01 00:00:00,2018-06-30,2013-10-31,14.32
2013-11-01 00:00:00,2018-06-30,2013-11-30,11.96
2013-12-01 00:00:00,2018-06-30,2013-12-31,13.0
2014-01-01 00:00:00,2018-06-30,2014-01-31,13.06
2014-02-01 00:00:00,2018-06-30,2014-02-28,14.18
2014-03-01 00:00:00,2018-06-30,2014-03-31,13.59
2014-04-01 00:00:00,2018-06-30,2014-04-30,13.49
2014-05-01 00:00:00,2018-06-30,2014-05-31,11.76
2014-06-01 00:00:00,2018-06-30,2014-06-30,10.3
2014-07-01 00:00:00,2018-06-30,2014-07-31,10.64
2014-08-01 00:00:00,2018-06-30,2014-08-31,12.41
2014-09-01 00:00:00,2018-06-30,2014-09-30,11.91
2014-10-01 00:00:00,2018-06-30,2014-10-31,16.91
2014-11-01 00:00:00,2018-06-30,2014-11-30,12.24
2014-12-01 00:00:00,2018-06-30,2014-12-31,14.91
2015-01-01 00:00:00,2018-06-30,2015-01-31,17.99
2015-02-01 00:00:00,2018-06-30,2015-02-28,15.32
2015-03-01 00:00:00,2018-06-30,2015-03-31,15.02
2015-04-01 00:00:00,2018-06-30,2015-04-30,13.76
2015-05-01 00:00:00,2018-06-30,2015-05-31,13.63
2015-06-01 00:00:00,2018-06-30,2015-06-30,14.83
2015-07-01 00:00:00,2018-06-30,2015-07-31,14.55
2015-08-01 00:00:00,2018-06-30,2015-08-31,19.59
2015-09-01 00:00:00,2018-06-30,2015-09-30,24.6
2015-10-01 00:00:00,2018-06-30,2015-10-31,16.98
2015-11-01 00:00:00,2018-06-30,2015-11-30,16.01
2015-12-01 00:00:00,2018-06-30,2015-12-31,18.3
2016-01-01 00:00:00,2018-06-30,2016-01-31,24.33
2016-02-01 00:00:00,2018-06-30,2016-02-29,24.11
2016-03-01 00:00:00,2018-06-30,2016-03-31,16.4
2016-04-01 00:00:00,2018-06-30,2016-04-30,14.35
2016-05-01 00:00:00,2018-06-30,2016-05-31,14.79
2016-06-01 00:00:00,2018-06-30,2016-06-30,16.64
2016-07-01 00:00:00,2018-06-30,2016-07-31,12.31
2016-08-01 00:00:00,2018-06-30,2016-08-31,11.22
2016-09-01 00:00:00,2018-06-30,2016-09-30,13.59
2016-10-01 00:00:00,2018-06-30,2016-10-31,14.82
2016-11-01 00:00:00,2018-06-30,2016-11-30,15.34
2016-12-01 00:00:00,2018-06-30,2016-12-31,11.96
2017-01-01 00:00:00,2018-06-30,2017-01-31,10.79
2017-02-01 00:00:00,2018-06-30,2017-02-28,10.51
2017-03-01 00:00:00,2018-06-30,2017-03-31,10.64
2017-04-01 00:00:00,2018-06-30,2017-04-30,11.57
2017-05-01 00:00:00,2018-06-30,2017-05-31,9.97
2017-06-01 00:00:00,2018-06-30,2017-06-30,9.42
2017-07-01 00:00:00,2018-06-30,2017-07-31,8.88
2017-08-01 00:00:00,2018-06-30,2017-08-31,10.18
2017-09-01 00:00:00,2018-06-30,2017-09-30,8.6
2017-10-01 00:00:00,2018-06-30,2017-10-31,8.02
2017-11-01 00:00:00,2018-06-30,2017-11-30,9.13
2017-12-01 00:00:00,2018-06-30,2017-12-31,8.83
2018-01-01 00:00:00,2018-06-30,2018-01-31,10.37
2018-02-01 00:00:00,2018-06-30,2018-02-28,20.13
2018-03-01 00:00:00,2018-06-30,2018-03-31,18.05
2018-04-01 00:00:00,2018-06-30,2018-04-30,18.78
2018-05-01 00:00:00,2018-06-30,2018-05-31,13.69
2018-06-01 00:00:00,2018-06-30,2018-06-30,12.69
