date,realtime_end,realtime_start,SPREAD
2008-05-01 00:00:00,2018-06-30,2008-05-31,2.12
2008-06-01 00:00:00,2018-06-30,2008-06-30,2.21
2008-07-01 00:00:00,2018-06-30,2008-07-31,2.35
2008-08-01 00:00:00,2018-06-30,2008-08-31,2.14
2008-09-01 00:00:00,2018-06-30,2008-09-30,2.54
2008-10-01 00:00:00,2018-06-30,2008-10-31,3.12
2008-11-01 00:00:00,2018-06-30,2008-11-30,3.34
2008-12-01 00:00:00,2018-06-30,2008-12-31,2.39
2009-01-01 00:00:00,2018-06-30,2009-01-31,2.39
2009-02-01 00:00:00,2018-06-30,2009-02-28,2.57
2009-03-01 00:00:00,2018-06-30,2009-03-31,2.6
2009-04-01 00:00:00,2018-06-30,2009-04-30,2.77
2009-05-01 00:00:00,2018-06-30,2009-05-31,3.11
2009-06-01 00:00:00,2018-06-30,2009-06-30,3.54
2009-07-01 00:00:00,2018-06-30,2009-07-31,3.38
2009-08-01 00:00:00,2018-06-30,2009-08-31,3.42
2009-09-01 00:00:00,2018-06-30,2009-09-30,3.28
2009-10-01 00:00:00,2018-06-30,2009-10-31,3.32
2009-11-01 00:00:00,2018-06-30,2009-11-30,3.35
2009-12-01 00:00:00,2018-06-30,2009-12-31,3.54
2010-01-01 00:00:00,2018-06-30,2010-01-31,3.67
2010-02-01 00:00:00,2018-06-30,2010-02-28,3.58
2010-03-01 00:00:00,2018-06-30,2010-03-31,3.58
2010-04-01 00:00:00,2018-06-30,2010-04-30,3.69
2010-05-01 00:00:00,2018-06-30,2010-05-31,3.26
2010-06-01 00:00:00,2018-06-30,2010-06-30,3.08
2010-07-01 00:00:00,2018-06-30,2010-07-31,2.85
2010-08-01 00:00:00,2018-06-30,2010-08-31,2.54
2010-09-01 00:00:00,2018-06-30,2010-09-30,2.5
2010-10-01 00:00:00,2018-06-30,2010-10-31,2.41
2010-11-01 00:00:00,2018-06-30,2010-11-30,2.62
2010-12-01 00:00:00,2018-06-30,2010-12-31,3.15
2011-01-01 00:00:00,2018-06-30,2011-01-31,3.24
2011-02-01 00:00:00,2018-06-30,2011-02-28,3.45
2011-03-01 00:00:00,2018-06-30,2011-03-31,3.31
2011-04-01 00:00:00,2018-06-30,2011-04-30,3.4
2011-05-01 00:00:00,2018-06-30,2011-05-31,3.13
2011-06-01 00:00:00,2018-06-30,2011-06-30,2.96
2011-07-01 00:00:00,2018-06-30,2011-07-31,2.96
2011-08-01 00:00:00,2018-06-30,2011-08-31,2.28
2011-09-01 00:00:00,2018-06-30,2011-09-30,1.97
2011-10-01 00:00:00,2018-06-30,2011-10-31,2.13
2011-11-01 00:00:00,2018-06-30,2011-11-30,2.0
2011-12-01 00:00:00,2018-06-30,2011-12-31,1.97
2012-01-01 00:00:00,2018-06-30,2012-01-31,1.94
2012-02-01 00:00:00,2018-06-30,2012-02-29,1.88
2012-03-01 00:00:00,2018-06-30,2012-03-31,2.09
2012-04-01 00:00:00,2018-06-30,2012-04-30,1.97
2012-05-01 00:00:00,2018-06-30,2012-05-31,1.71
2012-06-01 00:00:00,2018-06-30,2012-06-30,1.53
2012-07-01 00:00:00,2018-06-30,2012-07-31,1.43
2012-08-01 00:00:00,2018-06-30,2012-08-31,1.58
2012-09-01 00:00:00,2018-06-30,2012-09-30,1.61
2012-10-01 00:00:00,2018-06-30,2012-10-31,1.65
2012-11-01 00:00:00,2018-06-30,2012-11-30,1.56
2012-12-01 00:00:00,2018-06-30,2012-12-31,1.65
2013-01-01 00:00:00,2018-06-30,2013-01-31,1.84
2013-02-01 00:00:00,2018-06-30,2013-02-28,1.88
2013-03-01 00:00:00,2018-06-30,2013-03-31,1.87
2013-04-01 00:00:00,2018-06-30,2013-04-30,1.7
2013-05-01 00:00:00,2018-06-30,2013-05-31,1.89
2013-06-01 00:00:00,2018-06-30,2013-06-30,2.25
2013-07-01 00:00:00,2018-06-30,2013-07-31,2.54
2013-08-01 00:00:00,2018-06-30,2013-08-31,2.7
2013-09-01 00:00:00,2018-06-30,2013-09-30,2.79
2013-10-01 00:00:00,2018-06-30,2013-10-31,2.57
2013-11-01 00:00:00,2018-06-30,2013-11-30,2.65
2013-12-01 00:00:00,2018-06-30,2013-12-31,2.83
2014-01-01 00:00:00,2018-06-30,2014-01-31,2.82
2014-02-01 00:00:00,2018-06-30,2014-02-28,2.66
2014-03-01 00:00:00,2018-06-30,2014-03-31,2.67
2014-04-01 00:00:00,2018-06-30,2014-04-30,2.68
2014-05-01 00:00:00,2018-06-30,2014-05-31,2.53
2014-06-01 00:00:00,2018-06-30,2014-06-30,2.56
2014-07-01 00:00:00,2018-06-30,2014-07-31,2.51
2014-08-01 00:00:00,2018-06-30,2014-08-31,2.39
2014-09-01 00:00:00,2018-06-30,2014-09-30,2.51
2014-10-01 00:00:00,2018-06-30,2014-10-31,2.28
2014-11-01 00:00:00,2018-06-30,2014-11-30,2.31
2014-12-01 00:00:00,2018-06-30,2014-12-31,2.18
2015-01-01 00:00:00,2018-06-30,2015-01-31,1.85
2015-02-01 00:00:00,2018-06-30,2015-02-28,1.96
2015-03-01 00:00:00,2018-06-30,2015-03-31,2.01
2015-04-01 00:00:00,2018-06-30,2015-04-30,1.92
2015-05-01 00:00:00,2018-06-30,2015-05-31,2.18
2015-06-01 00:00:00,2018-06-30,2015-06-30,2.34
2015-07-01 00:00:00,2018-06-30,2015-07-31,2.29
2015-08-01 00:00:00,2018-06-30,2015-08-31,2.1
2015-09-01 00:00:00,2018-06-30,2015-09-30,2.15
2015-10-01 00:00:00,2018-06-30,2015-10-31,2.05
2015-11-01 00:00:00,2018-06-30,2015-11-30,2.13
2015-12-01 00:00:00,2018-06-30,2015-12-31,2.01
2016-01-01 00:00:00,2018-06-30,2016-01-31,1.83
2016-02-01 00:00:00,2018-06-30,2016-02-29,1.47
2016-03-01 00:00:00,2018-06-30,2016-03-31,1.59
2016-04-01 00:00:00,2018-06-30,2016-04-30,1.58
2016-05-01 00:00:00,2018-06-30,2016-05-31,1.53
