date,realtime_end,realtime_start,CPI
1994-11-01 00:00:00,1998-02-23 00:00:00,1996-02-28 00:00:00,149.9
1994-11-01 00:00:00,1999-02-18 00:00:00,1998-02-24 00:00:00,150.0
1994-11-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,149.9
1994-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,149.8
1994-12-01 00:00:00,1995-02-14 00:00:00,1995-01-11 00:00:00,150.2
1994-12-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,150.1
1994-12-01 00:00:00,1997-02-18 00:00:00,1996-02-28 00:00:00,150.2
1994-12-01 00:00:00,1998-02-23 00:00:00,1997-02-19 00:00:00,150.3
1994-12-01 00:00:00,2002-02-19 00:00:00,1998-02-24 00:00:00,150.2
1994-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,150.1
1995-01-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,150.6
1995-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,150.5
1995-02-01 00:00:00,1996-02-27 00:00:00,1995-03-16 00:00:00,151.0
