date,realtime_end,realtime_start,FF
2012-07-01 00:00:00,2018-06-30,2012-07-31,0.16
2012-08-01 00:00:00,2018-06-30,2012-08-31,0.13
2012-09-01 00:00:00,2018-06-30,2012-09-30,0.14
2012-10-01 00:00:00,2018-06-30,2012-10-31,0.16
2012-11-01 00:00:00,2018-06-30,2012-11-30,0.16
2012-12-01 00:00:00,2018-06-30,2012-12-31,0.16
2013-01-01 00:00:00,2018-06-30,2013-01-31,0.14
2013-02-01 00:00:00,2018-06-30,2013-02-28,0.15
2013-03-01 00:00:00,2018-06-30,2013-03-31,0.14
2013-04-01 00:00:00,2018-06-30,2013-04-30,0.15
2013-05-01 00:00:00,2018-06-30,2013-05-31,0.11
2013-06-01 00:00:00,2018-06-30,2013-06-30,0.09
2013-07-01 00:00:00,2018-06-30,2013-07-31,0.09
2013-08-01 00:00:00,2018-06-30,2013-08-31,0.08
2013-09-01 00:00:00,2018-06-30,2013-09-30,0.08
2013-10-01 00:00:00,2018-06-30,2013-10-31,0.09
2013-11-01 00:00:00,2018-06-30,2013-11-30,0.08
2013-12-01 00:00:00,2018-06-30,2013-12-31,0.09
2014-01-01 00:00:00,2018-06-30,2014-01-31,0.07
2014-02-01 00:00:00,2018-06-30,2014-02-28,0.07
2014-03-01 00:00:00,2018-06-30,2014-03-31,0.08
2014-04-01 00:00:00,2018-06-30,2014-04-30,0.09
2014-05-01 00:00:00,2018-06-30,2014-05-31,0.09
2014-06-01 00:00:00,2018-06-30,2014-06-30,0.1
2014-07-01 00:00:00,2018-06-30,2014-07-31,0.09
2014-08-01 00:00:00,2018-06-30,2014-08-31,0.09
2014-09-01 00:00:00,2018-06-30,2014-09-30,0.09
2014-10-01 00:00:00,2018-06-30,2014-10-31,0.09
2014-11-01 00:00:00,2018-06-30,2014-11-30,0.09
2014-12-01 00:00:00,2018-06-30,2014-12-31,0.12
2015-01-01 00:00:00,2018-06-30,2015-01-31,0.11
2015-02-01 00:00:00,2018-06-30,2015-02-28,0.11
2015-03-01 00:00:00,2018-06-30,2015-03-31,0.11
2015-04-01 00:00:00,2018-06-30,2015-04-30,0.12
2015-05-01 00:00:00,2018-06-30,2015-05-31,0.12
2015-06-01 00:00:00,2018-06-30,2015-06-30,0.13
2015-07-01 00:00:00,2018-06-30,2015-07-31,0.13
2015-08-01 00:00:00,2018-06-30,2015-08-31,0.14
2015-09-01 00:00:00,2018-06-30,2015-09-30,0.14
2015-10-01 00:00:00,2018-06-30,2015-10-31,0.12
2015-11-01 00:00:00,2018-06-30,2015-11-30,0.12
2015-12-01 00:00:00,2018-06-30,2015-12-31,0.24
2016-01-01 00:00:00,2018-06-30,2016-01-31,0.34
2016-02-01 00:00:00,2018-06-30,2016-02-29,0.38
2016-03-01 00:00:00,2018-06-30,2016-03-31,0.36
2016-04-01 00:00:00,2018-06-30,2016-04-30,0.37
2016-05-01 00:00:00,2018-06-30,2016-05-31,0.37
2016-06-01 00:00:00,2018-06-30,2016-06-30,0.38
2016-07-01 00:00:00,2018-06-30,2016-07-31,0.39
2016-08-01 00:00:00,2018-06-30,2016-08-31,0.4
2016-09-01 00:00:00,2018-06-30,2016-09-30,0.4
2016-10-01 00:00:00,2018-06-30,2016-10-31,0.4
2016-11-01 00:00:00,2018-06-30,2016-11-30,0.41
2016-12-01 00:00:00,2018-06-30,2016-12-31,0.54
2017-01-01 00:00:00,2018-06-30,2017-01-31,0.65
2017-02-01 00:00:00,2018-06-30,2017-02-28,0.66
2017-03-01 00:00:00,2018-06-30,2017-03-31,0.79
2017-04-01 00:00:00,2018-06-30,2017-04-30,0.9
