date,realtime_end,realtime_start,AWH
1985-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,76.1
1985-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,76.0
1985-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.9
1985-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,110.8
1985-08-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,76.3
1985-08-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,76.2
1985-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,76.1
1985-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.0
1985-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,76.4
1985-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,76.3
1985-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.3
1985-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,76.6
1985-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,76.5
1985-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.4
1985-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,76.8
1985-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,76.7
1985-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,76.6
1985-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.9
1985-12-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,77.2
1985-12-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,77.1
1985-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,77.0
1986-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,112.5
1986-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,77.5
1986-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,77.4
1986-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,77.3
1986-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.7
1986-02-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,77.1
1986-02-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,77.2
1986-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,77.1
1986-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,77.0
1986-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,112.1
1986-03-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,77.2
1986-03-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,77.1
1986-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,77.0
1986-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.9
1986-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,77.1
1986-04-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,77.0
1986-04-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,76.9
1986-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,112.1
1986-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,77.4
1986-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,77.3
1986-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,111.6
1986-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,77.1
1986-06-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,77.0
1986-06-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,76.9
1986-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,112.0
