date,realtime_end,realtime_start,EMP
1986-11-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,100145.0
1986-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,100280.0
1986-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,100306.0
1986-12-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,100394.0
1986-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,100484.0
1986-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,100511.0
1987-01-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,100543.0
1987-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,100655.0
1987-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,100683.0
1987-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,100772.0
1987-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,100887.0
1987-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,100915.0
1987-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,101005.0
1987-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,101136.0
1987-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,101164.0
1987-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,101367.0
1987-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,101474.0
1987-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,101502.0
1987-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,101564.0
1987-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,101701.0
1987-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,101728.0
1987-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,101713.0
1987-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,101872.0
1987-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,101900.0
1987-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,102047.0
1987-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,102218.0
1987-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,102247.0
1987-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,102266.0
1987-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,102388.0
1987-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,102418.0
1987-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,102430.0
1987-09-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,102619.0
1987-09-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,102617.0
